order_id,order_date,ship_date,customer_id,location_id,ship_mode,order_priority
CA-2012-124891,31-07-2012,31-07-2012,RH-19495,LOC-309C6B70D3,Same Day,Critical
IN-2013-77878,05-02-2013,07-02-2013,JR-16210,LOC-FA2EF8AB49,Second Class,Critical
IN-2013-71249,17-10-2013,18-10-2013,CR-12730,LOC-BF749D2307,First Class,Medium
ES-2013-1579342,28-01-2013,30-01-2013,KM-16375,LOC-AC6A742C24,First Class,Medium
SG-2013-4320,05-11-2013,06-11-2013,RH-9495,LOC-5B1EE800D9,Same Day,Critical
IN-2013-42360,28-06-2013,01-07-2013,JM-15655,LOC-EA95B970BB,Second Class,Critical
IN-2011-81826,07-11-2011,09-11-2011,TS-21340,LOC-1EC301B866,First Class,Critical
IN-2012-86369,14-04-2012,18-04-2012,MB-18085,LOC-4DD3E6ABF2,Standard Class,High
CA-2014-135909,14-10-2014,21-10-2014,JW-15220,LOC-D962639516,Standard Class,Low
CA-2012-116638,28-01-2012,31-01-2012,JH-15985,LOC-64585688D9,Second Class,Critical
CA-2011-102988,05-04-2011,09-04-2011,GM-14695,LOC-1C37E777D8,Second Class,High
ID-2012-28402,19-04-2012,22-04-2012,AJ-10780,LOC-4A28604A00,First Class,High
SA-2011-1830,27-12-2011,29-12-2011,MM-7260,LOC-07BFD8FBF2,Second Class,Critical
MX-2012-130015,13-11-2012,13-11-2012,VF-21715,LOC-5DD2BC263B,Same Day,Critical
IN-2013-73951,06-06-2013,08-06-2013,PF-19120,LOC-C0DF71EC30,Second Class,Critical
ES-2014-5099955,31-07-2014,03-08-2014,BP-11185,LOC-54EFD84184,Second Class,Critical
CA-2014-143567,03-11-2014,06-11-2014,TB-21175,LOC-D6F757F8C1,Second Class,Critical
ES-2014-1651774,08-09-2014,14-09-2014,PJ-18835,LOC-323C63AE4E,Standard Class,Low
IN-2014-11763,31-01-2014,01-02-2014,JS-15685,LOC-F1568B70F4,First Class,Critical
TZ-2014-8190,05-12-2014,07-12-2014,RH-9555,LOC-B65A116E3E,Second Class,High
PL-2012-7820,08-08-2012,10-08-2012,AB-600,LOC-C97201C0C7,First Class,Critical
CA-2011-154627,29-10-2011,31-10-2011,SA-20830,LOC-4A44E30EF8,First Class,High
IN-2011-44803,02-05-2011,03-05-2011,JK-15325,LOC-CFDEB3D33F,First Class,Critical
ES-2013-2860574,27-02-2013,01-03-2013,LB-16795,LOC-CF3EBDE88C,Second Class,High
US-2014-133193,31-07-2014,01-08-2014,NP-18325,LOC-13890544B1,First Class,Critical
MX-2014-165309,05-09-2014,08-09-2014,VD-21670,LOC-8D676A5629,First Class,Critical
IN-2011-10286,17-12-2011,20-12-2011,PB-19210,LOC-008196F4BB,First Class,Critical
ES-2011-4699764,14-03-2011,17-03-2011,EB-14110,LOC-F9D3AFE994,Second Class,Critical
CA-2013-159016,11-03-2013,12-03-2013,KF-16285,LOC-9E8AD9C84C,First Class,High
IN-2012-44810,25-02-2012,25-02-2012,BP-11230,LOC-DF57B41FF4,Same Day,Critical
US-2011-128776,28-12-2011,30-12-2011,RR-19525,LOC-CC56702B70,Second Class,Critical
ES-2012-5870268,17-07-2012,19-07-2012,BS-11365,LOC-D5FFB34D32,First Class,Critical
CA-2012-139731,15-10-2012,15-10-2012,JE-15745,LOC-D340190806,Same Day,High
IN-2011-28087,03-11-2011,05-11-2011,DP-13105,LOC-4ECBEF8304,Second Class,Critical
CA-2011-168494,12-12-2011,14-12-2011,NP-18700,LOC-586FB5B7F3,Second Class,High
CG-2011-8610,14-09-2011,15-09-2011,AH-30,LOC-A17D6A8296,First Class,High
CA-2011-160766,14-09-2011,14-09-2011,DM-13015,LOC-5205C5827F,Same Day,High
